,clean_tweet_final,label
31739,my video on the whole situation,1
28316,because many of us find obama's policies repugnant does not make us you're liberal racecard has exhausted,1
14638,"white people, black people, brown people good &amp; evil is not a color!",1
17116,today 1000 s!,1
23394,: i can't wait nothing good of a (racist) and ( misogynist) than see to the women like animals.,1
15380,"""these are times of grave danger,with dissent recast as treason, unchained and intolerance on the march""&amp;ita|",1
21121,ambassador says is form of,1
3324,"when the market crashed in march 2000, greenspan cut interest rates even more a|a|",1
151,yes it's when you call a gorilla because racists have long thought of black people as no beta|,1
21550,"jews, christians and muslims all believe that good will prevail. cnn a|",1
10428,was a fighting &amp; in with her her her &amp; ha|,1
8530,directly applicable to trump.,1
21726,note: i was just able to pop this zit on my neck that's been there for days. i've beensqueezing it for days.a|,1
14699,farmer beaten during a land invasion crisis a loteni area via,1
31201,and d? racist#deathwish,1
9894,: ally carl slammed for wish list for what a cockwomble,1
5510,trump campaign official wants michelle obama to be alet loosea to live with african apes,1
2683,"trophy. i have always been one. by ""educate yourself,""",1
23050,this motherfucker needs to be in acharles paladino's racist comments spark calls for resignationa,1
3572,"icymi: ""why 2016 was not a complete washout for anti-racism"" by",1
114,why not mocked obama for being black.,1
15011,commercial showing inter-racial couple attacked by suppoers,1
31680,chick gets fucked crazy european sex,1
23662,are you &amp; feel like the are stomping a| you? listen,1
18079,aanti-islamista rally organiser shown laughing at death footage,1
15335,anyone has a right 2 question foreign parentage. mccain was questioned and accused by democrats.,1
15609,"aaall men are created equal,a and if we donat believe ita|maybe we should stop saying it!a - hube humphrey",1
9239,the historian whitewashing ukraineas past,1
24123,your comments are reflections of ignorance and . =,1
26005,all of them preying on poor,1
25019,michelle obama aape in heelsa case is just the beginning::,1
17621,"that's harsh, even in these post times. what next, a charity called send the bugga|",1
27542,trump new york co-chair makes racist 'gorilla' remark about michelle obama &lt; you total tool! fucking moron. hta|,1
24178,sea shepherd suppoers are racist!,1
3687,"police, check cashing industry, atlanta and profiling black men:",1
22046,. we must stand together with all of our brothers and sisters.,1
617,the latest obsidian radio daily! thanks to,1
15974,are you .. feel like the are stomping on you? listen,1
21658,save the date! 1-4-2017 sourcenation! live wed 8,1
24765,i've no problem with that teach against . but it's wrong to teach that all are !,1
31960,vandalised in in condemns act,1
26212,,1
3474,sea shepherd suppoers are racist!,1
21934,can't effo a logic point w/out or especially if that's wha|,1
2638,if i could this 1000x i wud.,1
987,"""no im not attracted to asian ppl bc im not asian"" what if i tell you no im not attracted to u bc im not (inse race here) hoe",1
13276,what if michelle obama had done this?,1
2898,the correct way it should have been written!!! doesn't matter her profession!!! is clearly still a thing!,1
29112,suspected henrico isn't ' - dec 31 9:46 pm et,1
7725,are you &amp; feel like a| are stomping on you? listen,1
30937,"you anti-whites brag about our ""inevitable brown future"" then scream """" when we oppose it. you're pushing",1
16668,the cold war was fought over oil. a|,1
31262,openly and total against graceless goodbye to america's first black president:,1
13681,"d it's there, it's dalthough i'm told that andrew jackson was and also",1
2750,has happened far too often,1
5903,sea shepherd suppoers are racist!,1
4712,nothing would be more dangerous than to give the impression we accept,1
30641,people around the world are afraid. the world is primed to react. a|,1
4140,word factory: race denial prevents healing! ~9,1
4305,"""black lives matter except for mine apparently"" have the patience 2 watch this all the way through",1
692,"carolyn cooper | ugly, poor, ignorant and black!",1
14381,i do d. my father had a great one and now my brother following him and yeah i married to this awesome gua|,1
13022,lame duck and lame dick,1
20092,in injustice and inflame protests over ash: tya|,1
27492,(advanced value chain videos at ),1
22780,in america: 'kill obama' and not welcome here' signs in new mexico draw criticism,1
30545,vandalised in in condemns act,1
31364,america isn't racist. their are a plethora of reasons for someone not to like obama. you're ignorant in many fashioa|,1
31318,perfect timing for this tweet!,1
15005,"if you get us into a war, you better send your boys uday &amp; qusay first! you're an idiot and a fool! sad!",1
11253,"white ""social justice warriors"" _ getting it wrong, again. via",1
21388,will the alt-right promote a new kind of genetics? mt,1
8639,university of wisconsin-madison won't cancel racially biased 'problem of whiteness' course,1
10477,"if you say the said that &amp; can be found with extremists of all faiths,a|",1
15466,you might be a libtard if...,1
11220,vandalised in in condemns act,1
29422,buffalo school districts boots trump ally over racist comments. :,1
425,why the nazis studied american race laws for inspiration a,1
22228,typical riding the machine sic.,1
26531,4 all 2 cou. no media coverage. or wp were victims and feared for their lives. maybe probation. who???,1
14231,fucking nude nerd girls naked,1
30372,"agreed.. the same is true for and .. they are overused terms, and as a result, are fast becoming meaningless.. d$?",1
13067,"anybody who says against men doesn't exist, hasn't tried to buy disney/looney toons-themed in men's sizes/cuts.",1
11243,are you &amp; feel like the are a|on you? listen,1
19406,"so sick of all the pre-programmed rhetoric! enough, already!! how about unity, patriotism and love for fea|",1
20323,fuck you you you may have fooled some but not the majority,1
18817,are you &amp; feel like a| are stomping on you? listen,1
25518,and his racism could fuel the power needed to light everyones christmas lights in the uk. a|,1
28352,"verified: shocking video of police touring civilians was shot at on nov 5, 2016.a|",1
13779,"leave a 'gweh' below a! if in 2017, you will no longer debate about ora|",1
6634,1.48 projection s,1
24902,sexism may be harmful to men's mental health...#men,1
25647,thought factory: left-right polarisation! +14,1
6207,so when is your next klan meeting?! my wife isn't white &amp; i'm proud of her &amp; our love. we are each others gift froma|,1
4129,the latest the african american turmoil! thanks to,1
7458,lock the gate!,1
11791,smoke out the old year and new year at the same time! marijuana unleashed at ibooks.,1
1136,how &amp; system fail to protect victims of police,1
27122,sex videos of chinese against women in the workplace,1
16803,we think of cultures as separate and distinct from one another. a| a|,1
29869,"good afternoon sweety! d send me letter ai,",1
29065,why is ignored,1
10736,(vine by 9/11 did bush),1
14965,"meet the wilmington peacekeepers, they walk in beauty. week of actions",1
10762,most likely the us is deploying bc we're and interfering with the within stop killing eaca|,1
17490,"this video was censored by youtube for ""hate speech"" d enjoy!",1
8795,"turns into a raging sexist, and genocide-defender.",1
9356,the idiocy of feminism. they actually think microaggressions matter. here's the proof:,1
622,just more overwhelming evidence that the company keeps echoes his sentiments &amp; ideals,1
16191,congressman hangs this picture nationas capitol. he should volunteer to be hua|,1
12206,not even trumpas transition team wants to deal with carl comments about the obamas - vanity fair,1
9813,and in a not so stunning response plan to nominate member to lead their pay.,1
16222,the problem is that thereas no space for alternative explanations.,1
26333,you might be a libtard if...,1
17749,hidden in is as rampant as blatant racism.,1
5091,"trump lackey carl palladino is th get of a mating betwn a pig &amp; a hyena &amp; iq of a slug. apologies to all pigs, hyea|",1
14350,", no? or perhaps paladino is feeling some ""economic anxiety""",1
24012,jeff sessions tries to delete decades of ....,1
31443,is a &amp; a sick fuck! he looks like his pedophile friend,1
23770,you might be a libtard if...,1
8416,on and but none against or or,1
19495,prolapsed pussy and women,1
8074,the truth about &amp;,1
19590,keep these conversations going at school and home. we need to create the space and time and commit to help them.a|,1
20161,why is ignored,1
19179,you see the driver &amp; i we're talking about africans who speak english fluently but this who just got on thoua|,1
6305,tell that jeffery beauregard to quit foolin' around and come pick up his hood &amp; sheets for saturdaa|,1
21284,fl woman screaming racial slurs aims gunas laser pointer at black mcdonaldas customer a|,1
6164,is okay,1
29304,"you forgot: small hands, orange skin, weird hair, big teeth",1
17823,are you &amp; feel like the are stomping on you? listen,1
13990,why is ignored,1
3249,"ultimately, a from early that i wish i didn't have to tell. i also wish it didn't do as well as it dida|",1
12110,because i've been paying attention for the past year/8 years. he's a a|,1
23055,the radicalism of woodrow wilsonas racism,1
23718,you might be a libtard if...,1
12705,extending your hand &amp; uniting merica is unprecedented!,1
17651,racists never ceased to rant in 2016,1
20121,comments about the obamas make him a late contender for the most loathsome character of 2016,1
13561,"coming from an ultra like surprise surprise at least they can play golf dod,",1
29136,why can't women be defenders if they want?,1
6713,"book?? wtf, that's reich?",1
3408,i wasn't aware facebook was a legislature.,1
13858,stop ating my fathers son,1
22051,"is quick to themselves over zille's comments as , but do noting about these black racists.a|",1
23955,this moron is leading the us down a path that has so much potential to damage and destroy the world. a|,1
31863,refuses to veto resolution on,1
21161,why did kick of the flight because he spoke arabic.,1
8962,all the snowpeople in this movie are white.,1
25501,sea shepherd suppoers are racist!,1
19931,sexist slant in media representation of women 'needs to change',1
19573,are a| &amp; feel like the are stomping on you? listen,1
31178,isn't it time we realized what we've done: read america's history!,1
14920,nothing would be more dangerous than to give the impression we accept,1
22363,"racial discrimination interacts with genetics, impacts health among african americans",1
8803,"carl paladino, trump ally, wishes obama dead of mad cow disease in a17",1
15191,tyler perry says backlash over his tlc show is 'reverse racism' - new york daily news,1
9073,are you &amp; feel like the are a| on you? listen,1
5919,you might be a libtard if...,1
6074,never be content to sit back and watch as others' rights are trampled upon. your rights could be next.,1
3346,i find the burka offensive because the implication that men can't control themselves on sight of an uncova|,1
30978,he isnt attracted to asian women. sends me a pic of a korean woman and says they all look the same passing it off aa|,1
21033,typical lying thats slander of a grp! dont kill 4,1
19937,reject news - my latest aicle on,1
24775,"""the reality is that the tech industry is made of regular-ass people.""",1
10945,here's being a racist troll. would love for you to spread the word,1
6193,damn she's bold,1
6021,in dd! mother after arrest; via,1
11375,reagan convinced ksa to flood the market and drive oil prices to historic lows. a|,1
6727,two bots one girl,1
1860,you might be a libtard if...,1
27054,scientists are against ! but only if the child is less than 18 months old...,1
31594,you might be a libtard if...,1
17336,sea shepherd suppoers are racist!,1
3119,check this out! i mentioned this org to you back in april. founder is a girl from nyc. happy new yeaa|,1
12707,"libtard- ""i can't believe she hate muslims and suppo trump. how can a black woman do that?"" me ""because i'm not your damn slave!""",1
31926,a follow up from the gentlemen who were kicked off of airlines for simply speaking arabic,1
25508,i've had these experiences in europe as an american. is alive and unwell.,1
1400,pay of via,1
27666,"haha wow. is a for using the n-word &amp; the equivalent of it in arabic ""abd"" which means slave:",1
28907,video men and women in bed without clothes nude mother son sex,1
3169,work out the idea of creating a substantive argument and making a point rather than calling names.a|,1
3057,and destructive socialists,1
25111,suppo these let's hope america wakes up to the plight of the,1
27516,do you hate ? loves attention. on january...,1
16847,"don't miss this: miriam herschlag's blog: haim yavin, my ass via",1
9877,allows &amp; work for your station. acceptable?,1
18747,not to sound but has her looks to fall back on unlike good luck 2 both,1
15523,a white-skinned woman's unfair experience of in india! via,1
3001,dear is &amp; lies. should never unite with leavers. have a shit christmas lady,1
2850,"disgusting racist thugs, look forward to him going back to jail",1
9103,what in the fuck is this?,1
16257,fuck donald trump! he will never be my president!,1
8604,is against a,1
1485,1 get your own house in order 2 when you returning stolen land,1
29681,not all westerners are islamophobes.,1
6323,wahhhh!!!!! white ppl arent allowed to do this!!! ddd. fuck you rich. we don't care d,1
831,does his incredibly obama impression. via,1
2653,if i'd posted your flag logo in 2008 i'd have been called . forced to bake a cake. same for dancers. elitist asses.,1
14107,i am disgusted watching defend her career &amp; intelligence to so informing the future gen is laughable? ..,1
12844,pay = pay = pay = pay = = .,1
26560,"today another attack the japanese and chinese, claims to not be racist",1
5356,i don't even know what is/isn't anymore.,1
24605,thats you,1
18952,silveragatka: had to screenshot &amp; share these snaps from michaelacoel it's an impoant message.,1
5392,typical lying thats slander of a grp! dont kill 4,1
27380,if you are pa of the 64.2 mil who rejected his business. &amp; must be stoppea|,1
18682,doesn't arrive doing a salut.but in a sharp suit,1
30831,there is only one requirement for the job of the us president: being male,1
20787,"most deaths caused by islamic extremism occur in civil wars, not terror attacks.",1
23204,cult.,1
10898,are you &amp; feel like a| are stomping on you? listen,1
10249,total asssss...worst mistake ever...lord help us all...,1
5851,"but! i'm also correct whom our enemies are, and whom to ally with; to rid ourselves of , and join together in what we have in common",1
25940,wwi &amp; wwii were both waged over oil. a|,1
23322,"last retro for you this year, and whilst i do love a good bit of i do not wanta|",1
4612,"""your people"" would have all died of scurvy their first winter if the first nations hadn't shown them a cute.a|",1
6810,council staff have been instructed by the anc to go slow and make the da look bad. this was exposed a few weeks ago.,1
25559,"for some reason, the story on snapchat seems always geared towards women.",1
14054,you might be a libtard if...,1
26319,"""his"" dad ? did you just assume gender ?",1
31272,goodbye 2016.... i definitely hope we leave behind,1
31882,come on n wake the eff up usa! this is craziness. does it all stem from n hatred of ? it seems likea|,1
9166,"hey you piece of , obama will always be more of a than you ever will",1
19396,commercial showing inter-racial couple attacked by suppoers,1
19705,stop lying about 11 years with an anti-semitic hate group,1
5644,what is your problem?,1
16603,"made , vile remarks about &amp; | and his must go",1
18950,racism at home and anti- advice for others: we're good at both.,1
5966,,1
19155,hot new release! swiftly sharpens the fang,1
3640,the lady said it's the juniors only area (it wasn't) &amp; i'd be ask to leave if someone complained. then her boss defended her,1
26110,i despise this &amp; everything he stands for! trying to destroy the usaa|,1
14565,d own team up with &amp; show what &amp; combat,1
9186,"this is awful! just slap on the face to hey my neighbor black just bought a $700,000 house. we r soa|",1
17608,"who's that ugly""lady""?",1
28286,sea shepherd suppoers are racist!,1
21155,the major kind of that people arenat talking enough about via,1
22346,fake activist !!!%####&amp;$/,1
25676,"video: on ""#america has had enough of this crap!""",1
24857,are a| &amp; feel like the are stomping on you? listen,1
3083,: police appeal following 2 alleged assaults,1
24318,you might be a libtard if...,1
6402,atk porn pics representations of women in men's alcohol ads,1
7839,this is what like... lol wtf is this? this is why you all let a get in the white house. you're all a shame.,1
5977,"please, just stop.",1
31604,dwyane wade if you hate,1
15062,must be said: voters are guilty of normalizing . which is a form of racism. morality is a not a moveable feaa|,1
16512,"holiday fun, socially relevant! celebrates '70 bewitched xmas ep",1
23458,i decided to become a beginning 1/1/17. if any feminists are reading plz help to find educational materials.,1
26100,are we entering a new age of ? a repoer reflects on the hate crime beat,1
11115,indianapolis colts black cheerleader hugs boy who used slur. so. much. class,1
16931,"if you are one of the 64.2 mil who rejected , &amp; fly your flag half mast on jan.a|",1
7145,"d' ""the deafening silence from anti-racist activists regarding in porn is hard to comprehend."" htta|",1
5200,"ik right some other racist makes a meme &amp;they swear it's proof, what happened to a|",1
16018,"azealia mcmillan,james david manning... o",1
20819,i work in the in owned by garbage person here's where he lia|,1
30704,awesome. black man gets kkk members to disavow by befriending them,1
5888,indianapolis colts black cheerleader hugs boy who used slur. so. much. class,1
11621,will the alt-right promote a new kind of genetics? mt,1
8170,this is a completely justified call out on my comment. again i do apologize,1
28142,"liz treacy, condone ex-councillor mark hackett's for me",1
31372,want to stop ? not sure where to begin? let us show you how: cc:a|,1
10498,worst customer service in the united states! already repoed 2 the better business bureau!,1
23743,you might be a libtard if...,1
4831,great aicle of truth about needs. comments back up why it's needed. - via,1
9810,new video! wanna see the worst sha|,1
3621,porn blue tube office woman,1
16905,ashamed that this person is a fellow d!d(c),1
3777,school board demanding after aa remarks made about,1
22010,would be the best thing he has done yet,1
4632,how was first officially codified in 15th-century,1
5171,what would be the reaction of the...,1
6500,"check out this flyer for yay titties! question: do we have to bring my own pussy to grab, or will pussy bea|",1
21792,".@user just delete your account, shallow , and go away.",1
7785,live! swiftly sharpens the fang tale of a|,1
11469,"what over-rode journalists' integrity was greed and ambition, along with a total absence of courage.",1
30951,sure sunderland isn't alone. incidents in more than double after brexit vote,1
23305,smooth new year's eve! marijuana unleashed at ibooks.,1
24176,will send you to the inauguration~ join today!!,1
17315,anyone listened to the words to this seventies classic,1
30860,"is trafficking in ? &amp; his ""for profit"" use of the word nigger to sell music",1
2236,travelled for game sad and disappointed of fans the sad i can't cheer for my own team .,1
25916,book - in a global age ht,1
9120,"the more familiar we become, the more difficult it is to stereotype. . a|",1
6217,cleveland police union overwhelmingly endorses trump for president 75% of cops are &lt;&lt;,1
5169,"awe the peoplea originally meant awe the white, landholding males.a a|a|",1
8552,campaign co-chair unleashes on the in 2017 wish list | mic,1
21043,the acrusadera west vs. aislamic terrorisma is a popular sequel to capitalism vs. communism.a|,1
22264,the latest the blicqeraC/ daily! thanks to,1
8897,is guilty of treason ! we must naked raygun treason,1
22578,where on eah is pastor is he perhaps in prayer &amp; meditation on how to respond with spin to thisa|,1
4093,anyone claiming ran on a platform immediately becomes &amp; loses all credibilitya|,1
14878,and the movement,1
14470,this is really telling.,1
8438,".@user just delete your account, shallow , and go away.",1
21451,"after 8 yrs of endless lies, contempt from a left activist, u realize with clarity he never came clean w/usa|",1
18637,"terry bradshaw &amp; george karl: at very least insensitive remarks, at most racist. re: melo and mike tomlin. trump emboldened?",1
26802,"funny can't get rid of , so many distractions and lousy qb. maybe next year, probaba|",1
10026,someone find this man,1
24094,what does have against via,1
9416,"a!i, acharles paladino's racist comments spark calls for resignationa",1
4412,"piece of shit, emails r nothing compared 2 u! apologize for spew against",1
20803,who breathes through a wave? maybe you need to.,1
4525,wanna talk about &amp;/or but read brief honesty of editor,1
22572,pick for attorney general is shadowed by race and history is,1
16825,another in a position of authority has got to go,1
3880,when the gets women have to encounter.,1
18132,cleveland police union overwhelmingly endorses trump for president kkk love,1
9084,"live the c.o.w.s di, compensatory call-in or 641.715.3640 code: 564943# iswara|",1
29602,provoking neighbours again with noise. the that says - he can do what ever he wants. trash. haters,1
26308,retweeted baycat (@user msg of for a business to end .,1
22934,live! swiftly sharpens the fang tale of a|,1
29599,a campaign co-chair answers a few questions...,1
31603,girl get fuck bondage leather girl,1
23651,seriously got rejected by my driver as soon as i got in the car because i'm white... wow! at its finest!,1
21394,.@user ends 2016 with a hopeful message against in the music industry viaa|,1
24767,porn vids web free sex,1
23677,by the time you get to saying you've already missed the point.,1
7243,pathetic fallacy? infantile ? just in case anyone wondered whether had a brain we have prooa|,1
8913,.@user are you seriously considering a performance at the inauguration of a,1
27536,vandalised in in condemns act,1
4645,"why do all ""#liberals"" look the same? i mean i know that i'm being for saying this but cmon! ps. where do ia|",1
12979,stop calling ! i've met him. bbc is more than he. he's got big work ahead.,1
31934,lady banned from kentucky mall.,1
26859,"they are, but laws against whites protects blacks in",1
10645,"can ""whites only immigration"" make america great again? via",1
13509,porn videos iran fucking girles,1
26780,islamic extremism kills tens of thousands of people every year.,1
10938,this is what is referring to when he ignorantly shouts &amp; his racist sheep sta bleating,1
21956,what do you think of saying you had good videos with him. they got him.,1
27026,"last retro for you this year, and whilst i do love a good bit of i do not wanta|",1
2721,how is viewed by women! explained b,1
12053,a&amp;e scraps controversial series,1
14397,nothing would be more dangerous than to give the impression we accept,1
21699,donkey proud of murdering real palestinian semitic children - thats what i call,1
17782,prohibition was from the sta,1
29173,another comment on social media!! idiot!!!,1
26606,she didn't get far,1
10621,"leave a 'gweh' below a! if in 2017, you will no longer debate about",1
9209,don't hire graduates. they're taught &amp;,1
14939,don't let the door hit you on your way out. sorry ass mofo. don't come back your white dumbass,1
20993,how to defeat ugly prejudice.,1
14323,"your comment = a! 5,- donation for a$? sucks",1
21654,"hey! but the chinese are communists as well! oh but they're not white, that's right. i see.",1
17051,you might be a libtard if...,1
1783,no hitler comparisons?,1
29887,michelle obama is on the crack pipe,1
25521,no convo on how to stop indigenous deaths means anything unless it stas with how we face into epidemic against,1
11804,"how about a qualifications trc, professor bozzoli?",1
20064,the immature is just trying to make a fool of,1
2166,techjunkiejh:athe daily showa unpacks against and on a|,1
26851,"swiftly sharpens the fang , &amp;",1
4935,i decided to become a beginning 1/1/17. if any feminists are reading plz help to find educational materials.a|,1
6882,nick cannon speaks out against the systemic of via,1
25742,"""the blacks""? ""the blacks""? ""blacks""? *facepalm* *smh*",1
14008,"i dare to speak for the rest of canada, b/c no one else dares, b/c of this massive racist bullying anyone gets fora|",1
22811,"josephjett ""fatherhood: nor shall you engage in aberrant social behavior, then call that resultant disdain that is merely commona|",1
14667,"""forever loyal to the city of buffalo"" you have a real class act there",1
31891,dr. frances cress welsing - racism defined,1
26874,rise up today is out! stories of police brutality from,1
15522,thank you comrade is it erica avenue? i am making a stop at to find out why she doesnt hire indian domestics,1
14049,perhaps the would be happier if was a bit more like what a hero,1
14290,you can still be .,1
16559,you might be a libtard if...,1
11801,can everyone please pound on for this comment on about a great lawa|,1
28475,sea shepherd suppoers are racist!,1
11722,"sadly, those you call your enemies are the majority of americans.",1
1541,not all muslims hate america.,1
25873,why do we have listen to a woman who goes to church but kills thousands.,1
8796,the latest the all in one news24 daily! thanks to,1
29950,anti racist white murdered by blacks in south africa,1
15386,clintonas ainvisible hand joba championed by conservatives on the right. a| a|a|,1
8541,huh i wonder why?d- could it be that he's a well documented ?,1
31562,"not every ushers in lies, hate, , or the incineration of",1
19558,it and expose me. do it.. you mean nothing to me. expose me as the racist you say i am. i am waiting.,1
13254,"omg, what is up with the use of the word ""broad?"" and if people don't agree w/you, they're ""triggered?? a|",1
9822,"holiday fun, socially relevant! celebrates '70 bewitched xmas ep",1
13927,"back to open ,",1
1942,chick gets fucked nude superhero,1
7826,"all happy for A"" what i don't get is the incessant but thin veiled against other gay minorities?",1
16086,white fragility: why itas so hard to talk to white people about :,1
30770,is a form of,1
11303,says a president elect that calls americans enemies,1
2784,happy newyear!,1
18600,"from racism to resource development, here are the political stories inuit watched in 2016",1
26681,what is racism then? would he have done same with a white mother? proof that there is a group that isa|,1
18497,"content: , harm,",1
3775,buffalo parents rally to remove trump ally carl paladino from school board after remarksa|,1
24878,will stop ..so annoying,1
19033,"if you are a non-racist white, other minority don't serve in military while in power",1
11422,im so with and their &amp;,1
7167,"this! deaths blamed on victims' ""culture"" by council what about paying maybe?",1
6389,when the waiter asks if he wants to eat the plate aswell...,1
13502,you'd think would b protesting 24/7 but it doesn't fit their,1
